Date,Adj Close,Close,High,Low,Open,Volume
2023-10-03,438.489990234375,438.489990234375,440.4700012207031,435.8900146484375,435.8900146484375,463900
2023-10-04,442.0299987792969,442.0299987792969,443.739990234375,437.1199951171875,438.6300048828125,665700
2023-10-05,445.79998779296875,445.79998779296875,448.04998779296875,444.1099853515625,444.9200134277344,713200
2023-10-06,445.2900085449219,445.2900085449219,449.67999267578125,443.95001220703125,445.7699890136719,606200
2023-10-09,451.7799987792969,451.7799987792969,451.7799987792969,442.05999755859375,445.0,495700
2023-10-10,454.510009765625,454.510009765625,454.6099853515625,447.2300109863281,450.4800109863281,751500
2023-10-11,456.6600036621094,456.6600036621094,457.6199951171875,446.489990234375,453.70001220703125,954000
2023-10-12,459.2200012207031,459.2200012207031,461.32000732421875,454.9700012207031,457.3900146484375,1105000
2023-10-13,462.55999755859375,462.55999755859375,463.45001220703125,456.5400085449219,461.0,843000
2023-10-16,455.2900085449219,455.2900085449219,465.8999938964844,454.25,463.55999755859375,900100
2023-10-17,455.25,455.25,458.4100036621094,453.489990234375,455.29998779296875,696300
2023-10-18,455.7200012207031,455.7200012207031,460.0899963378906,454.760009765625,457.8399963378906,569800
2023-10-19,453.2699890136719,453.2699890136719,457.55999755859375,450.4100036621094,455.7200012207031,600700
2023-10-20,452.80999755859375,452.80999755859375,456.1099853515625,450.2200012207031,454.1499938964844,865100
2023-10-23,450.0,450.0,454.30999755859375,448.010009765625,452.0,513400
2023-10-24,452.04998779296875,452.04998779296875,454.95001220703125,448.17999267578125,451.2200012207031,445500
2023-10-25,453.0,453.0,455.4200134277344,449.67999267578125,453.6600036621094,466900
2023-10-26,451.6400146484375,451.6400146484375,456.7200012207031,448.010009765625,451.45001220703125,519600
2023-10-27,448.0299987792969,448.0299987792969,451.8599853515625,445.4100036621094,449.94000244140625,527400
2023-10-30,449.42999267578125,449.42999267578125,451.1199951171875,444.0400085449219,448.5799865722656,594300
2023-10-31,455.3599853515625,455.3599853515625,456.2300109863281,447.739990234375,451.75,756600
2023-11-01,459.5899963378906,459.5899963378906,465.1400146484375,453.54998779296875,453.54998779296875,1320500
2023-11-02,447.6000061035156,447.6000061035156,451.6600036621094,433.2200012207031,441.1700134277344,1252400
2023-11-03,452.760009765625,452.760009765625,462.8900146484375,447.94000244140625,447.94000244140625,868300
2023-11-06,460.010009765625,460.010009765625,464.489990234375,452.5,452.5,822500
2023-11-07,458.0400085449219,458.0400085449219,461.6600036621094,455.0,461.25,556500
2023-11-08,460.6700134277344,460.6700134277344,464.54998779296875,458.6400146484375,459.510009765625,740600
2023-11-09,461.8599853515625,461.8599853515625,465.0299987792969,460.1000061035156,460.6700134277344,553800
2023-11-10,469.2900085449219,469.2900085449219,469.9700012207031,462.8500061035156,462.8500061035156,739900
2023-11-13,470.6400146484375,470.6400146484375,473.17999267578125,466.5400085449219,469.260009765625,452100
2023-11-14,453.82000732421875,453.82000732421875,469.0,453.010009765625,466.6000061035156,1186100
2023-11-15,446.3800048828125,446.3800048828125,453.82000732421875,438.80999755859375,452.8999938964844,1625400
2023-11-16,450.7799987792969,450.7799987792969,453.79998779296875,447.8999938964844,447.94000244140625,1131200
2023-11-17,450.20001220703125,450.20001220703125,454.04998779296875,448.9800109863281,452.75,860800
2023-11-20,452.9700012207031,452.9700012207031,455.4100036621094,447.95001220703125,447.95001220703125,777000
2023-11-21,454.30999755859375,454.30999755859375,457.510009765625,452.55999755859375,455.1600036621094,755600
2023-11-22,457.45001220703125,457.45001220703125,459.6600036621094,454.0799865722656,454.0799865722656,554000
2023-11-24,461.3699951171875,461.3699951171875,462.2699890136719,458.3399963378906,460.0,219500
2023-11-27,461.8900146484375,461.8900146484375,466.45001220703125,461.79998779296875,462.739990234375,781800
2023-11-28,461.6000061035156,461.6000061035156,466.989990234375,461.0,462.9599914550781,637900
2023-11-29,456.70001220703125,456.70001220703125,461.4700012207031,455.4200134277344,460.4200134277344,787700
2023-11-30,470.55999755859375,470.55999755859375,471.1199951171875,453.7900085449219,455.260009765625,2212300
2023-12-01,464.6499938964844,464.6499938964844,476.3500061035156,464.32000732421875,472.4599914550781,809400
2023-12-04,459.29998779296875,459.29998779296875,466.239990234375,457.8299865722656,463.9100036621094,909000
2023-12-05,460.7900085449219,460.7900085449219,462.2099914550781,456.6099853515625,460.2099914550781,906700
2023-12-06,457.5899963378906,457.5899963378906,459.67999267578125,450.0199890136719,459.67999267578125,821300
2023-12-07,455.6600036621094,455.6600036621094,458.6700134277344,453.5899963378906,458.6700134277344,622100
2023-12-08,457.8900146484375,457.8900146484375,458.1000061035156,450.9800109863281,457.2699890136719,733400
2023-12-11,461.9800109863281,461.9800109863281,463.9200134277344,459.0899963378906,461.17999267578125,647800
2023-12-12,462.1400146484375,462.1400146484375,464.9599914550781,461.260009765625,463.4200134277344,679800
2023-12-13,460.79998779296875,460.79998779296875,468.25,457.3699951171875,463.1199951171875,814000
2023-12-14,441.67999267578125,441.67999267578125,451.69000244140625,436.8299865722656,450.8599853515625,2156200
2023-12-15,439.4700012207031,439.4700012207031,440.80999755859375,431.3500061035156,439.3900146484375,3743500
2023-12-18,447.5400085449219,447.5400085449219,448.42999267578125,441.67999267578125,443.4700012207031,804500
2023-12-19,448.0299987792969,448.0299987792969,449.7200012207031,444.510009765625,448.25,848900
2023-12-20,445.9599914550781,445.9599914550781,450.1600036621094,445.5199890136719,450.0,722400
2023-12-21,452.7099914550781,452.7099914550781,453.0799865722656,445.05999755859375,447.25,559000
2023-12-22,454.20001220703125,454.20001220703125,456.95001220703125,450.3299865722656,454.2699890136719,519800
2023-12-26,455.760009765625,455.760009765625,456.5199890136719,451.5400085449219,453.19000244140625,470200
2023-12-27,457.489990234375,457.489990234375,458.0,454.17999267578125,455.5,419100
2023-12-28,457.5,457.5,461.7099914550781,457.239990234375,458.29998779296875,414100
2023-12-29,462.9800109863281,462.9800109863281,464.3500061035156,457.989990234375,459.8399963378906,481300
2024-01-02,473.4200134277344,473.4200134277344,473.4200134277344,462.70001220703125,462.70001220703125,739600
2024-01-03,480.3399963378906,480.3399963378906,485.2200012207031,476.239990234375,476.239990234375,1288000
2024-01-04,474.54998779296875,474.54998779296875,481.760009765625,474.25,476.3900146484375,881300
2024-01-05,478.19000244140625,478.19000244140625,479.4599914550781,472.489990234375,476.8800048828125,579200
2024-01-08,476.6300048828125,476.6300048828125,482.6300048828125,470.1099853515625,480.6400146484375,666900
2024-01-09,481.05999755859375,481.05999755859375,483.1199951171875,471.17999267578125,475.3900146484375,904900
2024-01-10,483.69000244140625,483.69000244140625,485.9100036621094,479.3699951171875,482.5199890136719,609300
2024-01-11,488.8399963378906,488.8399963378906,489.07000732421875,483.989990234375,485.0,590700
2024-01-12,485.32000732421875,485.32000732421875,489.7300109863281,484.7900085449219,487.67999267578125,438800
2024-01-16,488.5,488.5,489.7699890136719,485.010009765625,486.510009765625,510700
2024-01-17,485.82000732421875,485.82000732421875,494.760009765625,485.3500061035156,489.489990234375,618700
2024-01-18,493.0,493.0,494.760009765625,480.1400146484375,483.8299865722656,789800
2024-01-19,484.6000061035156,484.6000061035156,494.29998779296875,484.2699890136719,493.239990234375,876300
2024-01-22,487.32000732421875,487.32000732421875,490.1300048828125,483.32000732421875,484.5199890136719,777000
2024-01-23,485.3699951171875,485.3699951171875,486.7799987792969,483.1300048828125,484.69000244140625,582800
2024-01-24,485.0,485.0,488.010009765625,484.25,485.69000244140625,496500
2024-01-25,486.3299865722656,486.3299865722656,486.42999267578125,478.6499938964844,484.1600036621094,742600
2024-01-26,485.2699890136719,485.2699890136719,487.9599914550781,484.0299987792969,487.1000061035156,370800
2024-01-29,486.4599914550781,486.4599914550781,488.3299865722656,484.4200134277344,485.3999938964844,496800
2024-01-30,490.0199890136719,490.0199890136719,490.2300109863281,484.1000061035156,488.260009765625,590300
2024-01-31,499.8900146484375,499.8900146484375,507.2099914550781,494.739990234375,494.739990234375,1073200
2024-02-01,501.8500061035156,501.8500061035156,503.80999755859375,487.3399963378906,497.6199951171875,733600
2024-02-02,504.45001220703125,504.45001220703125,508.0899963378906,502.0299987792969,503.7799987792969,691200
2024-02-05,507.94000244140625,507.94000244140625,510.94000244140625,502.260009765625,507.8599853515625,633200
2024-02-06,506.8699951171875,506.8699951171875,515.5800170898438,504.3900146484375,511.0799865722656,949600
2024-02-07,516.97998046875,516.97998046875,519.75,509.010009765625,510.0,1465100
2024-02-08,494.2300109863281,494.2300109863281,510.7300109863281,488.2900085449219,505.010009765625,2289000
2024-02-09,501.3500061035156,501.3500061035156,504.30999755859375,494.5,497.260009765625,1083200
2024-02-12,494.4800109863281,494.4800109863281,500.4599914550781,493.9700012207031,500.0,579600
2024-02-13,504.7699890136719,504.7699890136719,507.0299987792969,496.0,496.0,838700
2024-02-14,501.20001220703125,501.20001220703125,506.0299987792969,494.82000732421875,504.7699890136719,698200
2024-02-15,505.67999267578125,505.67999267578125,508.79998779296875,500.82000732421875,501.2699890136719,720000
2024-02-16,511.05999755859375,511.05999755859375,512.47998046875,506.4100036621094,507.92999267578125,739000
2024-02-20,506.739990234375,506.739990234375,517.77001953125,506.07000732421875,513.0999755859375,650900
2024-02-21,507.4200134277344,507.4200134277344,509.0899963378906,502.7799987792969,509.0899963378906,524100
2024-02-22,510.29998779296875,510.29998779296875,515.1799926757812,504.3999938964844,506.70001220703125,630300
2024-02-23,516.239990234375,516.239990234375,516.969970703125,509.3699951171875,512.469970703125,687200
2024-02-26,519.2000122070312,519.2000122070312,522.8200073242188,518.5,520.6900024414062,651900
2024-02-27,518.97998046875,518.97998046875,524.6900024414062,516.4299926757812,516.4299926757812,623600
2024-02-28,523.6799926757812,523.6799926757812,524.02001953125,517.0499877929688,520.3900146484375,475200
2024-02-29,521.4099731445312,521.4099731445312,524.5999755859375,519.1699829101562,522.8599853515625,1421300
2024-03-01,525.8800048828125,525.8800048828125,531.239990234375,522.739990234375,523.510009765625,833200
2024-03-04,534.1799926757812,534.1799926757812,535.010009765625,524.6500244140625,526.4299926757812,765400
2024-03-05,528.8300170898438,528.8300170898438,537.260009765625,524.469970703125,537.260009765625,905100
2024-03-06,525.0499877929688,525.0499877929688,531.4600219726562,525.0399780273438,529.4299926757812,713600
2024-03-07,528.47998046875,528.47998046875,529.4199829101562,520.9400024414062,528.4099731445312,1004200
2024-03-08,527.4099731445312,527.4099731445312,528.4600219726562,523.5,525.0900268554688,678800
2024-03-11,526.6599731445312,526.6599731445312,527.1300048828125,523.0599975585938,526.2000122070312,591300
2024-03-12,531.239990234375,531.239990234375,531.4500122070312,523.5399780273438,527.4000244140625,516500
2024-03-13,520.2100219726562,520.2100219726562,533.3400268554688,517.9199829101562,533.3400268554688,860100
2024-03-14,529.3599853515625,529.3599853515625,530.9000244140625,519.4000244140625,521.0,753200
2024-03-15,533.6400146484375,533.6400146484375,533.9099731445312,524.3599853515625,524.5499877929688,1365600
2024-03-18,529.7100219726562,529.7100219726562,536.6799926757812,528.5599975585938,532.4400024414062,569600
2024-03-19,534.3400268554688,534.3400268554688,535.8900146484375,529.6099853515625,531.9400024414062,461300
2024-03-20,530.75,530.75,535.77001953125,529.5,535.6500244140625,400200
2024-03-21,534.1799926757812,534.1799926757812,535.0900268554688,526.6699829101562,530.0,499500
2024-03-22,532.5700073242188,532.5700073242188,535.9000244140625,529.989990234375,534.8300170898438,426700
2024-03-25,532.5499877929688,532.5499877929688,534.3200073242188,531.52001953125,533.3200073242188,310400
2024-03-26,536.0900268554688,536.0900268554688,538.2999877929688,531.6699829101562,533.0,538700
2024-03-27,539.260009765625,539.260009765625,539.989990234375,531.260009765625,538.3499755859375,426400
2024-03-28,536.8499755859375,536.8499755859375,540.0,535.25,540.0,751800
2024-04-01,536.489990234375,536.489990234375,538.260009765625,531.0900268554688,536.27001953125,540600
2024-04-02,533.27001953125,533.27001953125,536.9299926757812,531.0599975585938,532.6500244140625,546300
2024-04-03,540.0900268554688,540.0900268554688,541.9099731445312,534.75,535.4400024414062,473000
2024-04-04,534.7899780273438,534.7899780273438,543.0,533.6699829101562,542.6500244140625,443800
2024-04-05,538.75,538.75,541.280029296875,533.1599731445312,537.0800170898438,312200
2024-04-08,532.22998046875,532.22998046875,537.260009765625,531.02001953125,535.02001953125,410700
2024-04-09,527.280029296875,527.280029296875,533.2899780273438,518.4199829101562,532.8599853515625,572300
2024-04-10,529.989990234375,529.989990234375,538.0399780273438,529.25,529.52001953125,452900
2024-04-11,523.3699951171875,523.3699951171875,530.510009765625,522.6500244140625,530.510009765625,486300
2024-04-12,523.010009765625,523.010009765625,527.989990234375,521.5,521.5,484400
2024-04-15,522.6799926757812,522.6799926757812,529.4099731445312,522.6300048828125,524.0,372100
2024-04-16,528.3499755859375,528.3499755859375,531.2100219726562,525.5700073242188,528.6699829101562,362600
2024-04-17,525.9199829101562,525.9199829101562,532.0,524.27001953125,530.6199951171875,538000
2024-04-18,518.8099975585938,518.8099975585938,528.4199829101562,514.8800048828125,528.4199829101562,631200
2024-04-19,524.8300170898438,524.8300170898438,525.8300170898438,517.010009765625,520.010009765625,645500
2024-04-22,527.3200073242188,527.3200073242188,533.219970703125,517.8200073242188,525.0,893500
2024-04-23,532.0,532.0,532.8599853515625,527.8900146484375,528.6900024414062,490800
2024-04-24,535.4199829101562,535.4199829101562,537.1500244140625,529.280029296875,531.6400146484375,583500
2024-04-25,539.9400024414062,539.9400024414062,542.2999877929688,534.719970703125,538.1900024414062,635600
2024-04-26,543.2999877929688,543.2999877929688,544.8099975585938,534.6799926757812,537.989990234375,654700
2024-04-29,536.0900268554688,536.0900268554688,543.25,535.52001953125,542.6199951171875,1209200
2024-04-30,537.2100219726562,537.2100219726562,539.1900024414062,533.75,536.1799926757812,795100
2024-05-01,531.0999755859375,531.0999755859375,535.0999755859375,518.27001953125,532.2999877929688,1170800
2024-05-02,530.27001953125,530.27001953125,533.7999877929688,524.8900146484375,529.6500244140625,823300
2024-05-03,528.8599853515625,528.8599853515625,530.0,520.489990234375,530.0,866900
2024-05-06,533.4099731445312,533.4099731445312,534.6300048828125,530.7999877929688,531.239990234375,642700
2024-05-07,545.75,545.75,546.6300048828125,533.52001953125,533.5499877929688,984400
2024-05-08,543.6099853515625,543.6099853515625,566.010009765625,538.6199951171875,552.3099975585938,1378600
